Perusahaan,Tahun,LCS,STDDEVROA,ROA,MTB,LEV,AGE,PM
ADES,2016,2,0.011315368,0.045513403,1.534638959,0.499155026,31,0.063031804
ADES,2015,2,0.040986099,0.07290232,1.823391526,0.497310264,30,0.049033559
ADES,2014,3,0.076715959,0.050272188,2.742092096,0.41410278,29,0.053596851
ADES,2013,3,0.067411193,0.061444148,4.455784091,0.399683493,28,0.110752919
ADES,2012,3,0.072351979,0.126185769,5.415986152,0.462541185,27,0.174925205
ADES,2011,5,0.00792934,0.21428241,4.738089227,0.602130056,26,0.086396868
AISA,2016,2,0.018836801,-0.097058432,1.426959713,0.539209895,26,0.109878271
AISA,2015,2,0.014082191,0.077716243,0.954296635,0.562198853,25,0.06217876
AISA,2014,2,0.009415254,0.041248302,1.824305304,0.512628316,24,0.073567298
AISA,2013,1,0.014857134,0.051294343,1.77332225,0.530600356,23,0.085469719
AISA,2012,3,0.014563,0.069057987,1.55224045,0.474230629,22,0.092321254
AISA,2011,2,0.00728356,0.065587334,0.789324302,0.489509956,21,0.085549309
AKKU,2016,1,0.098232428,-0.017415756,0.61190218,0.271179077,15,0.202435713
AKKU,2015,1,0.075615761,0.019176388,29.28880477,0.661170479,14,-0.255693485
AKKU,2014,5,0.119421827,-0.176696752,19.96574713,0.957376248,13,-1.39507926
AKKU,2013,3,0.370686962,-0.065564939,28.63371558,0.945808485,12,-0.231097519
AKKU,2012,1,0.31855469,-0.032302248,9.652791878,0.630753478,11,-1.675720821
AKKU,2011,4,0.338419532,-0.253762579,6.007060687,0.495662882,10,-3.463069005
AKPI,2016,3,0.005239082,0.004856972,0.546411414,0.571837137,36,0.025592702
AKPI,2015,1,0.003790345,0.020028928,0.537214087,0.61584776,35,0.013702688
AKPI,2014,3,0.0012923,0.009588395,0.544868821,0.534878382,34,0.017832326
AKPI,2013,1,0.010023106,0.015577028,0.535102123,0.506211058,33,0.02081318
AKPI,2012,3,0.015004568,0.016607925,0.645110248,0.508251816,32,0.020617584
AKPI,2011,3,0.012459962,0.018145049,0.937088901,0.514247879,31,0.035104976
ALKA,2016,3,0.009595341,0.050477774,2.326283267,0.552737937,44,0.000448215
ALKA,2015,5,0.009618043,0.003778153,1.20303071,0.571091854,43,-0.00156917
ALKA,2014,1,0.018283328,-0.008127988,1.445060545,0.741767152,42,0.002161354
ALKA,2013,1,0.021975164,0.010859444,1.021131105,0.753385759,41,-0.000286912
ALKA,2012,4,0.00637251,-0.001304164,1.018549114,0.62925816,40,0.006121409
ALKA,2011,3,0.014147638,0.03464192,1.149972343,0.812133534,39,0.011419572
ALMI,2016,2,0.023528473,0.003554484,0.279240971,0.812499479,38,-0.040592997
ALMI,2015,5,0.017624229,-0.046414509,0.215830164,0.741844999,37,-0.016084189
ALMI,2014,1,0.004647048,-0.024491999,0.257533207,0.800451999,36,0.000584206
ALMI,2013,1,0.005649807,0.000606693,0.140566193,0.761147213,35,0.009096441
ALMI,2012,4,0.010827599,0.009490549,0.17027197,0.687556942,34,0.004329833
ALMI,2011,3,0.006459546,0.007413571,0.271265256,0.71163303,33,0.008968407
ALTO,2016,2,0.007869719,-0.056652686,1.500659037,0.587293755,19,-0.089386553
ALTO,2015,3,0.014367853,-0.022745439,1.401697421,0.570445581,18,-0.080673269
AMFG,2016,2,0.035185784,0.006153499,0.80788739,0.346169678,45,0.069935219
AMFG,2015,3,0.018932402,0.04731139,0.838499414,0.206087898,44,0.093111572
AMFG,2014,3,0.011331076,0.079935367,1.126476733,0.223016757,43,0.126396648
AMFG,2013,3,0.014830661,0.117622224,1.100434777,0.21999987,42,0.105201338
